External Application Send Log =>
    [  0], 0000/00/00, 00:00:00 -> 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [  1], 2021/09/02, 13:20:07 -> 13:20:07, [0x0101], H=0xFE1C0002, Cmd=0x4
    [  2], 2021/09/02, 13:20:07 -> 13:20:07, [0x0101], H=0xFE1C0002, Cmd=0x0
    [  3], 2021/09/02, 13:20:09 -> 13:20:09, [0x0101], H=0xFE1C0002, Cmd=0x3
    [  4], 0000/00/00, 00:00:00 -> 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [  5], 0000/00/00, 00:00:00 -> 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [  6], 0000/00/00, 00:00:00 -> 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [  7], 0000/00/00, 00:00:00 -> 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [  8], 0000/00/00, 00:00:00 -> 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [  9], 0000/00/00, 00:00:00 -> 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 10], 0000/00/00, 00:00:00 -> 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 11], 0000/00/00, 00:00:00 -> 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 12], 0000/00/00, 00:00:00 -> 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 13], 0000/00/00, 00:00:00 -> 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 14], 0000/00/00, 00:00:00 -> 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 15], 0000/00/00, 00:00:00 -> 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 16], 0000/00/00, 00:00:00 -> 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 17], 0000/00/00, 00:00:00 -> 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 18], 0000/00/00, 00:00:00 -> 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 19], 0000/00/00, 00:00:00 -> 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 20], 0000/00/00, 00:00:00 -> 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 21], 0000/00/00, 00:00:00 -> 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 22], 0000/00/00, 00:00:00 -> 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 23], 0000/00/00, 00:00:00 -> 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 24], 0000/00/00, 00:00:00 -> 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 25], 0000/00/00, 00:00:00 -> 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 26], 0000/00/00, 00:00:00 -> 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 27], 0000/00/00, 00:00:00 -> 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 28], 0000/00/00, 00:00:00 -> 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 29], 0000/00/00, 00:00:00 -> 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 30], 0000/00/00, 00:00:00 -> 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 31], 0000/00/00, 00:00:00 -> 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 32], 0000/00/00, 00:00:00 -> 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 33], 0000/00/00, 00:00:00 -> 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 34], 0000/00/00, 00:00:00 -> 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 35], 0000/00/00, 00:00:00 -> 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 36], 0000/00/00, 00:00:00 -> 00:00:00, [0x0000], H=0x0, Cmd=0x0
